Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1649.2997860000003
FDW14,OUT017,1435.9121343749996
NCN55,OUT010,584.7577647727273
FDQ58,OUT017,2649.1102324324333
FDY38,OUT027,6280.890879999999
FDH56,OUT046,1922.149381714286
FDL48,OUT018,713.858654545455
FDC48,OUT027,2517.8820884848487
FDN33,OUT045,1879.2570116129025
FDA36,OUT017,2752.9709346534655
FDT44,OUT017,1922.149381714286
FDQ56,OUT045,1435.9121343749996
NCC54,OUT019,584.7577647727273
FDU11,OUT049,2142.743570940171
DRL59,OUT013,713.858654545455
FDM24,OUT049,2286.413267368421
FDI57,OUT045,3130.004904950496
DRC12,OUT018,2893.8398258992806
NCM42,OUT027,3242.062071532847
FDA46,OUT010,482.6995426229505
FDA31,OUT013,2778.5893175257734
NCJ31,OUT035,3737.295775182481
FDG52,OUT046,798.2176035398231
NCL19,OUT019,281.4820818181818
FDS10,OUT035,3384.1080642424226
FDX22,OUT010,584.7577647727273
NCF19,OUT035,798.2176035398231
NCE06,OUT046,2503.501336448598
DRC27,OUT046,3643.5197259842503
FDE21,OUT035,1922.149381714286
NCR42,OUT019,92.67548155339807
FDX51,OUT018,2893.8398258992806
NCR06,OUT018,507.0464036697249
FDU31,OUT027,5329.314724444444
FDU59,OUT017,2503.501336448598
FDR03,OUT027,5329.314724444444
FDS49,OUT027,2517.8820884848487
FDD48,OUT010,281.4820818181818
NCF18,OUT017,2939.3484761904747
NCD43,OUT027,2517.8820884848487
NCD54,OUT018,1752.2524399999998
FDY19,OUT010,281.4820818181818
NCY54,OUT017,2778.5893175257734
NCL19,OUT018,2232.8470218487396
FDP23,OUT010,584.7577647727273
FDC26,OUT013,1649.2997860000003
FDR14,OUT010,165.9185816513761
NCS41,OUT035,3384.1080642424226
FDF41,OUT035,3737.295775182481
FDU34,OUT046,1987.2510486486476
DRH11,OUT046,935.0323883040938
FDM03,OUT013,1461.8437959999999
FDS31,OUT017,3384.1080642424226
FDJ20,OUT017,2142.743570940171
FDV44,OUT027,5329.314724444444
FDG02,OUT049,2752.9709346534655
FDA09,OUT013,3259.5620849056622
FDT04,OUT013,507.0464036697249
FDL58,OUT019,584.7577647727273
FDE52,OUT045,1435.9121343749996
FDW12,OUT035,2286.413267368421
FDL51,OUT017,3643.5197259842503
NCY42,OUT027,3242.062071532847
FDR07,OUT017,1573.070625806451
FDN40,OUT045,2286.413267368421
FDB35,OUT027,2517.8820884848487
FDA22,OUT017,2286.413267368421
NCL06,OUT046,4034.300306896551
FDI35,OUT013,3384.1080642424226
NCW42,OUT045,4340.21835841584
NCX06,OUT049,2778.5893175257734
FDC37,OUT027,2517.8820884848487
FDZ14,OUT018,1752.2524399999998
DRG49,OUT049,3454.0625591549274
NCG06,OUT045,4034.300306896551
DRC36,OUT045,3259.5620849056622
FDV21,OUT019,281.4820818181818
FDB53,OUT046,3053.099877777778
DRP47,OUT019,584.7577647727273
FDA14,OUT013,3053.099877777778
DRC24,OUT035,2644.4778427083343
FDW21,OUT018,1372.6884907407411
NCH29,OUT046,1682.2122382352936
FDU58,OUT013,2893.8398258992806
FDY27,OUT017,2552.005235185186
FDV56,OUT035,1682.2122382352936
FDT59,OUT046,3945.4325672131163
FDB23,OUT046,3945.4325672131163
FDR49,OUT045,798.2176035398231
FDB03,OUT010,584.7577647727273
FDN39,OUT045,2453.747700699301
FDX02,OUT027,5329.314724444444
FDQ16,OUT027,2517.8820884848487
FDU35,OUT018,1372.6884907407411
NCT29,OUT013,1987.2510486486476
FDZ27,OUT046,798.2176035398231
FDN57,OUT017,2309.2007980000003
FDA03,OUT018,2232.8470218487396
FDZ36,OUT045,3384.1080642424226
NCU05,OUT013,1284.7897668711657
FDT39,OUT018,2232.8470218487396
FDK60,OUT017,1461.8437959999999
FDZ25,OUT017,3053.099877777778
FDG12,OUT046,2243.6695967213113
DRB01,OUT019,482.6995426229505
NCC43,OUT027,6280.890879999999
FDX13,OUT019,584.7577647727273
FDM22,OUT049,796.6402682539682
FDJ03,OUT027,1378.2631852760735
FDU14,OUT018,3327.9525829268296
FDB33,OUT010,346.8972837209303
FDP27,OUT046,3391.5912527272726
FDO38,OUT010,165.9185816513761
FDE28,OUT027,6280.890879999999
FDO27,OUT035,1879.2570116129025
DRL23,OUT027,2517.8820884848487
FDS28,OUT046,935.0323883040938
FDX24,OUT013,1435.9121343749996
FDZ02,OUT035,1682.2122382352936
FDL46,OUT045,1827.8328454545451
FDS60,OUT027,5329.314724444444
NCO06,OUT017,583.8145788617884
FDO16,OUT035,1435.9121343749996
FDC60,OUT049,1458.4550080536915
FDA48,OUT018,3327.9525829268296
FDZ36,OUT027,5329.314724444444
FDK27,OUT045,1827.8328454545451
FDW23,OUT018,507.0464036697249
FDM14,OUT018,1372.6884907407411
FDM14,OUT013,1649.2997860000003
FDW60,OUT018,3259.5620849056622
FDE21,OUT013,1922.149381714286
NCM42,OUT035,1682.2122382352936
FDY59,OUT010,219.21852093023264
DRI49,OUT049,1202.6567333333326
FDT28,OUT019,346.8972837209303
FDQ22,OUT018,507.0464036697249
FDR60,OUT049,1202.6567333333326
FDC50,OUT019,219.21852093023264
FDV24,OUT013,2503.501336448598
DRF48,OUT010,482.6995426229505
FDQ47,OUT046,583.8145788617884
DRN36,OUT049,1573.070625806451
NCY06,OUT035,1987.2510486486476
FDE52,OUT035,1435.9121343749996
NCB54,OUT045,1827.8328454545451
NCF31,OUT035,2286.413267368421
FDJ08,OUT027,5329.314724444444
NCC07,OUT017,1682.2122382352936
NCD19,OUT027,1378.2631852760735
FDL46,OUT049,1987.2510486486476
FDM20,OUT045,4340.21835841584
NCI06,OUT010,425.93559145299145
DRM11,OUT035,4433.304032653061
NCH07,OUT018,2232.8470218487396
FDS23,OUT013,2142.743570940171
FDO49,OUT018,713.858654545455
FDS35,OUT049,1103.1862133333332
DRK39,OUT045,1435.9121343749996
DRI39,OUT049,796.6402682539682
FDV04,OUT017,2503.501336448598
NCN14,OUT035,3384.1080642424226
FDH08,OUT013,3643.5197259842503
FDS20,OUT046,3384.1080642424226
FDV40,OUT049,1103.1862133333332
FDZ48,OUT010,281.4820818181818
FDS24,OUT027,2517.8820884848487
FDK44,OUT049,2552.005235185186
FDS48,OUT045,3053.099877777778
FDK26,OUT010,482.6995426229505
FDD23,OUT045,3391.5912527272726
NCH54,OUT017,2644.4778427083343
NCP14,OUT010,219.21852093023264
FDM60,OUT010,92.67548155339807
FDV24,OUT017,2503.501336448598
FDH08,OUT018,3327.9525829268296
FDS12,OUT027,3242.062071532847
FDR39,OUT027,5329.314724444444
FDP12,OUT027,1378.2631852760735
DRF60,OUT027,6280.890879999999
FDC09,OUT035,1682.2122382352936
FDF50,OUT018,2893.8398258992806
FDG28,OUT035,4340.21835841584
NCE19,OUT017,935.0323883040938
NCM53,OUT010,281.4820818181818
NCN18,OUT049,1879.2570116129025
FDF32,OUT035,3130.004904950496
FDF11,OUT013,3945.4325672131163
DRI59,OUT049,4340.21835841584
NCG54,OUT035,2644.4778427083343
FDM44,OUT046,1573.070625806451
FDT57,OUT018,3327.9525829268296
FDV24,OUT046,2503.501336448598
FDI50,OUT019,584.7577647727273
FDS09,OUT035,713.858654545455
NCC31,OUT027,4117.317712631577
FDQ07,OUT019,584.7577647727273
FDC22,OUT017,3391.5912527272726
FDZ56,OUT046,2644.4778427083343
FDZ40,OUT019,165.9185816513761
FDS46,OUT027,3242.062071532847
DRD24,OUT045,1827.8328454545451
FDV45,OUT017,2939.3484761904747
FDL26,OUT045,3053.099877777778
FDA56,OUT018,1752.2524399999998
FDN27,OUT046,1922.149381714286
FDM20,OUT049,4340.21835841584
FDO16,OUT017,1435.9121343749996
FDL03,OUT035,3130.004904950496
FDE58,OUT046,1922.149381714286
FDI02,OUT027,3242.062071532847
NCC55,OUT019,92.67548155339807
FDR03,OUT018,3327.9525829268296
FDB14,OUT017,1284.7897668711657
FDR45,OUT013,3945.4325672131163
NCN07,OUT017,2243.6695967213113
FDM51,OUT019,219.21852093023264
FDT52,OUT027,6280.890879999999
FDL26,OUT046,3053.099877777778
NCZ42,OUT046,3945.4325672131163
DRI47,OUT019,346.8972837209303
FDW40,OUT013,2309.2007980000003
FDN34,OUT046,3053.099877777778
FDS01,OUT035,2778.5893175257734
NCG55,OUT045,1827.8328454545451
FDC11,OUT035,1284.7897668711657
FDX35,OUT018,3327.9525829268296
NCB06,OUT046,2644.4778427083343
FDR09,OUT019,584.7577647727273
FDC53,OUT017,1573.070625806451
FDY45,OUT013,4433.304032653061
FDA22,OUT010,425.93559145299145
FDE02,OUT035,1573.070625806451
FDW21,OUT045,1461.8437959999999
FDV34,OUT046,1103.1862133333332
FDS59,OUT049,1879.2570116129025
NCW17,OUT017,2243.6695967213113
NCK54,OUT046,1922.149381714286
FDG17,OUT019,584.7577647727273
FDG35,OUT017,3259.5620849056622
FDD08,OUT010,92.67548155339807
NCO07,OUT017,3643.5197259842503
FDJ10,OUT010,281.4820818181818
FDW36,OUT017,1573.070625806451
FDW21,OUT010,219.21852093023264
FDY19,OUT017,1922.149381714286
DRE03,OUT013,798.2176035398231
NCC55,OUT049,677.1027476190472
FDH52,OUT010,165.9185816513761
FDO09,OUT017,4034.300306896551
FDU43,OUT045,4340.21835841584
FDX09,OUT010,425.93559145299145
FDH40,OUT019,219.21852093023264
FDW58,OUT017,1573.070625806451
FDC47,OUT017,3737.295775182481
NCR41,OUT035,1461.8437959999999
DRG49,OUT035,3737.295775182481
FDC52,OUT027,4117.317712631577
FDY13,OUT046,1103.1862133333332
FDY35,OUT013,507.0464036697249
FDI35,OUT017,3384.1080642424226
NCU18,OUT049,2309.2007980000003
FDY33,OUT018,2232.8470218487396
FDC15,OUT027,4117.317712631577
FDU01,OUT049,2752.9709346534655
NCU42,OUT046,2649.1102324324333
NCV29,OUT018,3259.5620849056622
NCY30,OUT017,3384.1080642424226
FDQ46,OUT049,1649.2997860000003
FDG58,OUT027,4117.317712631577
FDK33,OUT017,3643.5197259842503
NCD07,OUT045,1827.8328454545451
NCX29,OUT027,4117.317712631577
NCT42,OUT013,2649.1102324324333
DRN59,OUT035,798.2176035398231
FDI44,OUT035,1284.7897668711657
FDA45,OUT049,2552.005235185186
FDP31,OUT045,1103.1862133333332
FDY01,OUT046,1922.149381714286
FDT09,OUT018,1752.2524399999998
DRH03,OUT027,2517.8820884848487
FDA36,OUT018,2752.9709346534655
NCF31,OUT017,2286.413267368421
FDG14,OUT049,2286.413267368421
FDG28,OUT027,6280.890879999999
FDU14,OUT049,4433.304032653061
FDY47,OUT019,281.4820818181818
FDI56,OUT049,1458.4550080536915
DRD01,OUT013,796.6402682539682
FDM22,OUT046,935.0323883040938
FDH33,OUT013,507.0464036697249
DRZ24,OUT013,1922.149381714286
NCQ38,OUT046,1682.2122382352936
FDO16,OUT027,2517.8820884848487
FDU07,OUT027,4117.317712631577
NCB07,OUT013,2893.8398258992806
FDU48,OUT045,1827.8328454545451
NCM43,OUT045,2644.4778427083343
FDR31,OUT010,346.8972837209303
DRK49,OUT018,507.0464036697249
NCI30,OUT010,584.7577647727273
DRD60,OUT017,3384.1080642424226
NCG19,OUT046,3454.0625591549274
FDH12,OUT035,1573.070625806451
FDM32,OUT035,1284.7897668711657
FDM27,OUT035,3053.099877777778
NCU53,OUT027,4117.317712631577
NCQ18,OUT046,1879.2570116129025
FDS10,OUT013,2552.005235185186
FDB33,OUT027,4117.317712631577
FDI12,OUT013,1435.9121343749996
NCW42,OUT013,4340.21835841584
NCC06,OUT018,1752.2524399999998
FDW02,OUT017,1987.2510486486476
NCD43,OUT017,1682.2122382352936
FDM57,OUT018,1202.6567333333326
FDA58,OUT017,3737.295775182481
FDK56,OUT046,3384.1080642424226
FDP52,OUT045,4340.21835841584
FDW20,OUT018,1752.2524399999998
FDS52,OUT049,1573.070625806451
NCT29,OUT018,1752.2524399999998
NCL54,OUT013,2552.005235185186
FDC05,OUT045,3130.004904950496
FDF34,OUT035,2752.9709346534655
FDP03,OUT027,3242.062071532847
FDD32,OUT010,219.21852093023264
FDZ10,OUT045,1827.8328454545451
FDZ40,OUT035,935.0323883040938
FDD51,OUT018,507.0464036697249
NCY30,OUT019,425.93559145299145
FDP58,OUT017,3737.295775182481
FDV49,OUT017,4433.304032653061
FDY24,OUT019,165.9185816513761
NCO55,OUT017,1879.2570116129025
FDR13,OUT017,1922.149381714286
FDS51,OUT017,935.0323883040938
FDP26,OUT045,1461.8437959999999
NCB54,OUT027,3242.062071532847
FDF32,OUT017,3130.004904950496
FDN31,OUT018,2893.8398258992806
DRM48,OUT017,583.8145788617884
FDN20,OUT049,2453.747700699301
DRL01,OUT046,3454.0625591549274
FDV56,OUT049,1682.2122382352936
DRH13,OUT027,2517.8820884848487
FDA03,OUT017,2453.747700699301
FDF47,OUT027,5329.314724444444
FDX32,OUT046,3053.099877777778
FDX57,OUT049,1879.2570116129025
NCA30,OUT045,2939.3484761904747
