Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1852.9996263631863
FDW14,OUT017,1579.6253027776597
NCN55,OUT010,1888.446600913764
FDQ58,OUT017,2609.3137272366303
FDY38,OUT027,5179.228541181563
FDH56,OUT046,1915.7034715959348
FDL48,OUT018,596.7354505402263
FDC48,OUT027,2777.828943913421
FDN33,OUT045,1510.3662875297218
FDA36,OUT017,3079.2232245629957
FDT44,OUT017,1997.263221232285
FDQ56,OUT045,1306.6609009702483
NCC54,OUT019,1849.4183804332768
FDU11,OUT049,2045.7043562679287
DRL59,OUT013,888.7774636643608
FDM24,OUT049,2558.8073894987183
FDI57,OUT045,3088.660929387768
DRC12,OUT018,2764.927186983654
NCM42,OUT027,3192.4117716776627
FDA46,OUT010,1133.6542605248724
FDA31,OUT013,2798.8125418091436
NCJ31,OUT035,3878.410998597325
FDG52,OUT046,803.8870760581851
NCL19,OUT019,376.01724971944736
FDS10,OUT035,3027.566267733814
FDX22,OUT010,1448.8065604230815
NCF19,OUT035,915.0755485850157
NCE06,OUT046,2527.7429303384456
DRC27,OUT046,3843.2279701737375
FDE21,OUT035,2025.2862599915138
NCR42,OUT019,-1357.706905838564
FDX51,OUT018,2863.2151448363984
NCR06,OUT018,429.35093945817357
FDU31,OUT027,4940.216761876463
FDU59,OUT017,2712.2801757998027
FDR03,OUT027,4767.686665185396
FDS49,OUT027,2760.7259864725233
FDD48,OUT010,-73.3609065610168
NCF18,OUT017,3110.833640587481
NCD43,OUT027,3099.63403651743
NCD54,OUT018,1989.856349520967
FDY19,OUT010,-36.06339587893365
NCY54,OUT017,2810.9080571543495
NCL19,OUT018,2023.2093677862895
FDP23,OUT010,1533.6166043585108
FDC26,OUT013,1817.9674511371998
FDR14,OUT010,-1040.0940098916406
NCS41,OUT035,3035.720702435648
FDF41,OUT035,4041.784747578607
FDU34,OUT046,2002.5747895507784
DRH11,OUT046,919.7377052008717
FDM03,OUT013,1764.052229969816
FDS31,OUT017,3048.9414520991136
FDJ20,OUT017,2092.0319993555813
FDV44,OUT027,4494.507284749443
FDG02,OUT049,3102.7476488118295
FDA09,OUT013,2910.7236559757966
FDT04,OUT013,690.7840585876114
FDL58,OUT019,2294.2661794057053
FDE52,OUT045,1455.7573488698554
FDW12,OUT035,2503.7110938889823
FDL51,OUT017,3549.124949897015
NCY42,OUT027,3687.339329815462
FDR07,OUT017,1658.6860659530855
FDN40,OUT045,2374.408535265025
FDB35,OUT027,2949.7656335164465
FDA22,OUT017,2742.240548930585
NCL06,OUT046,4110.960229322829
FDI35,OUT013,2917.4494869347272
NCW42,OUT045,3411.811376974645
NCX06,OUT049,2934.6577965673464
FDC37,OUT027,3192.972882959285
FDZ14,OUT018,1727.678243507723
DRG49,OUT049,3947.422877724856
NCG06,OUT045,3959.9775236510754
DRC36,OUT045,2721.4826507172697
FDV21,OUT019,61.8434554891561
FDB53,OUT046,2359.1871189213284
DRP47,OUT019,2042.039993784018
FDA14,OUT013,2352.9542704013143
DRC24,OUT035,2568.0142576781045
FDW21,OUT018,1414.230735697
NCH29,OUT046,1556.3664567155179
FDU58,OUT013,3079.4614083115607
FDY27,OUT017,2946.138328911926
FDV56,OUT035,1948.66961617372
FDT59,OUT046,3656.4986980289627
FDB23,OUT046,3621.786301970975
FDR49,OUT045,698.229325520744
FDB03,OUT010,1908.56402732292
FDN39,OUT045,2617.748963672794
FDX02,OUT027,4985.386547931819
FDQ16,OUT027,3188.6206772988257
FDU35,OUT018,1341.9136361211526
NCT29,OUT013,1957.4402211813413
FDZ27,OUT046,830.1602370792871
FDN57,OUT017,2345.912506600081
FDA03,OUT018,2099.173461419762
FDZ36,OUT045,2920.139170235893
NCU05,OUT013,1322.2269737111071
FDT39,OUT018,2179.9642027282207
FDK60,OUT017,1722.7067997392667
FDZ25,OUT017,2857.6772160288956
FDG12,OUT046,2037.036541775843
DRB01,OUT019,1127.0823415153054
NCC43,OUT027,5377.826340261956
FDX13,OUT019,2035.6506729073467
FDM22,OUT049,1028.1974819986563
FDJ03,OUT027,2306.3592630393705
FDU14,OUT018,3678.05070220826
FDB33,OUT010,624.7853673560501
FDP27,OUT046,3005.285512693676
FDO38,OUT010,-669.6718016595452
FDE28,OUT027,5152.78804427566
FDO27,OUT035,1701.4368266255326
DRL23,OUT027,3166.7417310178325
FDS28,OUT046,963.0151564768134
FDX24,OUT013,1547.7067224619122
FDZ02,OUT035,1746.6568125826925
FDL46,OUT045,1812.4663270003398
FDS60,OUT027,4294.987836984928
NCO06,OUT017,635.5627003641785
FDO16,OUT035,1527.6967674370376
FDC60,OUT049,1538.2044094468156
FDA48,OUT018,3199.433164313564
FDZ36,OUT027,4452.523478315363
FDK27,OUT045,1877.2788485667102
FDW23,OUT018,378.39285121974217
FDM14,OUT018,1509.8954537273578
FDM14,OUT013,1787.4337248224253
FDW60,OUT018,2603.2340337991955
FDE21,OUT013,1909.9953185589457
NCM42,OUT035,1881.6465228828765
FDY59,OUT010,-372.48323992424923
DRI49,OUT049,1380.7719378993806
FDT28,OUT019,510.44073402713366
FDQ22,OUT018,408.83034234994943
FDR60,OUT049,1335.1034714189927
FDC50,OUT019,-393.4111438712956
FDV24,OUT013,2457.7567364769925
DRF48,OUT010,1026.2896139762322
FDQ47,OUT046,638.5136151047268
DRN36,OUT049,1662.9143151082758
NCY06,OUT035,2173.639404737067
FDE52,OUT035,1658.9045023016677
NCB54,OUT045,1936.7469199699935
NCF31,OUT035,2548.255450535326
FDJ08,OUT027,4448.179903782822
NCC07,OUT017,1786.8726880922943
NCD19,OUT027,2357.6662906909205
FDL46,OUT049,2012.146418704995
FDM20,OUT045,3834.1883682189628
NCI06,OUT010,918.4146327274957
DRM11,OUT035,4219.636613283255
NCH07,OUT018,2205.8436782728254
FDS23,OUT013,2083.0715871468956
FDO49,OUT018,599.2623551661347
FDS35,OUT049,1164.0790274494002
DRK39,OUT045,1276.4686936433236
DRI39,OUT049,1036.6408876656951
