Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1509.4323129186596
FDW14,OUT017,1364.0491539906104
NCN55,OUT010,542.9755395973156
FDQ58,OUT017,2384.015126168225
FDY38,OUT027,5669.163351428568
FDH56,OUT046,1874.4309598591542
FDL48,OUT018,754.5960957264956
FDC48,OUT027,2513.079854666667
FDN33,OUT045,1554.0070756410262
FDA36,OUT017,3087.5075112820496
FDT44,OUT017,1874.4309598591542
FDQ56,OUT045,1364.0491539906104
NCC54,OUT019,542.9755395973156
FDU11,OUT049,2054.215706620208
DRL59,OUT013,754.5960957264956
FDM24,OUT049,2384.015126168225
FDI57,OUT045,2880.9695613636363
DRC12,OUT018,2880.9695613636363
NCM42,OUT027,3175.335988157896
FDA46,OUT010,542.9755395973156
FDA31,OUT013,2736.968429875518
NCJ31,OUT035,3593.1412351254503
FDG52,OUT046,754.5960957264956
NCL19,OUT019,286.41777051282054
FDS10,OUT035,2880.9695613636363
FDX22,OUT010,542.9755395973156
NCF19,OUT035,754.5960957264956
NCE06,OUT046,2384.015126168225
DRC27,OUT046,4109.900606217616
FDE21,OUT035,1874.4309598591542
NCR42,OUT019,130.3334905660377
FDX51,OUT018,3087.5075112820496
NCR06,OUT018,637.5735090128754
FDU31,OUT027,5669.163351428568
FDU59,OUT017,2384.015126168225
FDR03,OUT027,5669.163351428568
FDS49,OUT027,2513.079854666667
FDD48,OUT010,286.41777051282054
NCF18,OUT017,2880.9695613636363
NCD43,OUT027,2513.079854666667
NCD54,OUT018,1936.5082478260867
FDY19,OUT010,286.41777051282054
NCY54,OUT017,2997.4076790419176
NCL19,OUT018,2346.648786938779
FDP23,OUT010,542.9755395973156
FDC26,OUT013,1722.3316111731851
FDR14,OUT010,130.3334905660377
NCS41,OUT035,3389.2269793548367
FDF41,OUT035,3593.1412351254503
FDU34,OUT046,2054.215706620208
DRH11,OUT046,876.3205797979806
FDM03,OUT013,1722.3316111731851
FDS31,OUT017,3389.2269793548367
FDJ20,OUT017,2054.215706620208
FDV44,OUT027,5669.163351428568
FDG02,OUT049,3087.5075112820496
FDA09,OUT013,2736.968429875518
FDT04,OUT013,637.5735090128754
FDL58,OUT019,542.9755395973156
FDE52,OUT045,1364.0491539906104
FDW12,OUT035,2384.015126168225
FDL51,OUT017,3753.0000993630574
NCY42,OUT027,3175.335988157896
FDR07,OUT017,1554.0070756410262
FDN40,OUT045,2384.015126168225
FDB35,OUT027,2513.079854666667
FDA22,OUT017,2384.015126168225
NCL06,OUT046,4333.891515923566
FDI35,OUT013,3389.2269793548367
NCW42,OUT045,3753.0000993630574
NCX06,OUT049,2736.968429875518
FDC37,OUT027,3175.335988157896
FDZ14,OUT018,1936.5082478260867
DRG49,OUT049,3593.1412351254503
NCG06,OUT045,4105.140110975609
DRC36,OUT045,2997.4076790419176
FDV21,OUT019,286.41777051282054
FDB53,OUT046,2539.3942358778604
DRP47,OUT019,542.9755395973156
FDA14,OUT013,2346.648786938779
DRC24,OUT035,2539.3942358778604
FDW21,OUT018,1509.4323129186596
NCH29,OUT046,1554.0070756410262
FDU58,OUT013,3087.5075112820496
FDY27,OUT017,2736.968429875518
FDV56,OUT035,1722.3316111731851
FDT59,OUT046,4109.900606217616
FDB23,OUT046,3753.0000993630574
FDR49,OUT045,754.5960957264956
FDB03,OUT010,542.9755395973156
FDN39,OUT045,2811.181403212853
FDX02,OUT027,5669.163351428568
FDQ16,OUT027,3175.335988157896
FDU35,OUT018,1509.4323129186596
NCT29,OUT013,1936.5082478260867
FDZ27,OUT046,754.5960957264956
FDN57,OUT017,2054.215706620208
FDA03,OUT018,2346.648786938779
FDZ36,OUT045,3389.2269793548367
NCU05,OUT013,1248.2233455555556
FDT39,OUT018,2346.648786938779
FDK60,OUT017,1554.0070756410262
FDZ25,OUT017,2811.181403212853
FDG12,OUT046,2202.2990201117314
DRB01,OUT019,542.9755395973156
NCC43,OUT027,5669.163351428568
FDX13,OUT019,542.9755395973156
FDM22,OUT049,876.3205797979806
FDJ03,OUT027,1378.2631852760733
FDU14,OUT018,3327.952582926828
FDB33,OUT010,384.4886739837401
FDP27,OUT046,3087.5075112820496
FDO38,OUT010,130.3334905660377
FDE28,OUT027,5669.163351428568
FDO27,OUT035,1554.0070756410262
DRL23,OUT027,3175.335988157896
FDS28,OUT046,876.3205797979806
FDX24,OUT013,1248.2233455555556
FDZ02,OUT035,1554.0070756410262
FDL46,OUT045,1874.4309598591542
FDS60,OUT027,5669.163351428568
