Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1875.4860427560238
FDW14,OUT017,1591.761274078634
NCN55,OUT010,1822.672658617003
FDQ58,OUT017,2546.3629591573954
FDY38,OUT027,5087.605400109228
FDH56,OUT046,1942.6371302122513
FDL48,OUT018,680.8000272442441
FDC48,OUT027,2806.0427441358897
FDN33,OUT045,1541.247755806773
FDA36,OUT017,3051.6757355410955
FDT44,OUT017,2004.9816551032459
FDQ56,OUT045,1358.1533406290998
NCC54,OUT019,1819.7081624356472
FDU11,OUT049,2076.750193350651
DRL59,OUT013,963.7365800429815
FDM24,OUT049,2541.5716064996277
FDI57,OUT045,3047.5751030919696
DRC12,OUT018,2726.5903317931266
NCM42,OUT027,3196.3220820943397
FDA46,OUT010,1129.0865932092916
FDA31,OUT013,2782.8531016284614
NCJ31,OUT035,3802.6708588839992
FDG52,OUT046,863.6967323629399
NCL19,OUT019,383.67497397229624
FDS10,OUT035,2986.4040703131795
FDX22,OUT010,1453.2700642602736
NCF19,OUT035,998.5313152811409
NCE06,OUT046,2519.829608866121
DRC27,OUT046,3768.6660667896863
FDE21,OUT035,2044.975056228151
NCR42,OUT019,-1251.1341145471406
FDX51,OUT018,2840.7076836527967
NCR06,OUT018,510.71347688105215
FDU31,OUT027,4872.661618212022
FDU59,OUT017,2684.9378118546256
FDR03,OUT027,4667.855182836754
FDS49,OUT027,2769.55214470211
FDD48,OUT010,-11.74285333776129
NCF18,OUT017,3083.5092213649114
NCD43,OUT027,3104.4140854002517
NCD54,OUT018,2007.8274969877762
FDY19,OUT010,23.568113246546318
NCY54,OUT017,2783.241558967811
NCL19,OUT018,2023.5214175263482
FDP23,OUT010,1509.3653428274188
FDC26,OUT013,1848.5794920752444
FDR14,OUT010,-931.0749455928519
NCS41,OUT035,2986.619667600747
FDF41,OUT035,3971.3364664503206
FDU34,OUT046,2004.5683173136001
DRH11,OUT046,984.1695289641908
FDM03,OUT013,1734.3034064058786
FDS31,OUT017,2964.89332690925
FDJ20,OUT017,2116.7529678965666
FDV44,OUT027,4427.784808962079
FDG02,OUT049,3080.3282714018806
